"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Apr-2017","     9220.60","     9245.35","     9192.40","     9237.85","      143444541","         8337.06"
"05-Apr-2017","     9264.40","     9273.90","     9215.40","     9265.15","      190529461","        11461.96"
"06-Apr-2017","     9245.80","     9267.95","     9218.85","     9261.95","      191937207","        10332.60"
"07-Apr-2017","     9223.70","     9250.50","     9188.10","     9198.30","      195918747","        10217.13"
"10-Apr-2017","     9225.60","     9225.65","     9174.85","     9181.45","      139968750","         8140.08"
"11-Apr-2017","     9184.55","     9242.70","     9172.85","     9237.00","      206261727","         9385.20"
"12-Apr-2017","     9242.50","     9246.40","     9161.80","     9203.45","      166755013","         8412.97"
"13-Apr-2017","     9202.50","     9202.65","     9144.95","     9150.80","      171695600","         8908.17"
"17-Apr-2017","     9144.75","     9160.00","     9120.25","     9139.30","      132244225","         6473.27"
"18-Apr-2017","     9163.00","     9217.90","     9095.45","     9105.15","      179569574","         8527.50"
"19-Apr-2017","     9112.20","     9120.50","     9075.15","     9103.50","      179117382","         8950.27"
"20-Apr-2017","     9108.10","     9143.90","     9102.65","     9136.40","      175629897","         8843.50"
"21-Apr-2017","     9179.10","     9183.65","     9088.75","     9119.40","      159981265","         8476.63"
"24-Apr-2017","     9135.35","     9225.40","     9130.55","     9217.95","      172908048","         9720.75"
"25-Apr-2017","     9273.05","     9309.20","     9250.35","     9306.60","      173896951","        10426.02"
"26-Apr-2017","     9336.20","     9367.00","     9301.35","     9351.85","      191395120","        10483.32"
"27-Apr-2017","     9359.15","     9367.15","     9322.65","     9342.15","      215881711","        12910.38"
"28-Apr-2017","     9340.95","     9342.65","     9282.25","     9304.05","-","-"
"02-May-2017","     9339.85","     9352.55","     9269.90","     9313.80","      166558241","         9110.59"
"03-May-2017","     9344.70","     9346.30","     9298.40","     9311.95","      156342492","         7975.14"
"04-May-2017","     9360.95","     9365.65","     9323.25","     9359.90","      277895923","        12379.74"
"05-May-2017","     9374.55","     9377.10","     9272.00","     9285.30","      239133531","        10466.68"
"08-May-2017","     9311.45","     9338.70","     9297.95","     9314.05","      179709949","         8300.22"
"09-May-2017","     9337.35","     9338.95","     9307.70","     9316.85","      136417428","         7504.66"
"10-May-2017","     9339.65","     9414.75","     9336.00","     9407.30","      157363135","         8619.06"
"11-May-2017","     9448.60","     9450.65","     9411.30","     9422.40","      176439840","         9289.89"
"12-May-2017","     9436.65","     9437.75","     9372.55","     9400.90","      159079418","         9813.47"
"15-May-2017","     9433.55","     9449.25","     9423.10","     9445.40","      145163953","         7790.97"
